Job title,Company,Location,Salary,Description
Data Analyst,Healthdirect Australia,Sydney NSW 2000,None,N/A
BI Analyst,City of Whittlesea,South Morang VIC,None,"Permanent – Part time 32 hours (0.84 EFT) Band 6 Salary $ 91,753.50 (Pro Rata) + Super + RDO + Flexible WorkingAbout Us The City of Whittlesea is one of the fastest growing municipalities in Australia. As a local government organisation, we play a pivotal role in the everyday lives of our community. Our vision is to make Whittlesea 2040: A Place For All by ensuring our residents can enjoy access to local services, facilities and infrastructure.Our staff are passionate, skilled and diverse, providing a great environment to work in and succeed.The Role Make a difference in our community!This is an exciting opportunity for a Power BI Specialist. Focus on data story-telling using your time to understand data, producing creative visualisations and enabling effective analysis. Our team delivers operational and strategic data analytics projects in support of the Whittlesea 2040 vision.The Data Analyst (Power BI) should be a data devotee. You will work closely with key stakeholders to empower effective use of data. As part of the Research and Analytics Team, this position will enable effective use of data to inform decisions and provide information for evidence-based decision-making across the organisation.About you We are seeking someone with excellent communication skills, who enjoys sharing knowledge and contributing to a positive culture of evaluation.You will be experienced in the design and implementation of BI processes, reports and dashboards. Working with others to turn data into insights to inform business decisions and measure business performance. You will have strong data analytics skills and an aptitude for creative and engaging data visualisations. Your experience and willingness to learn will be highly valued.If this sounds like you, then you should definitely apply!Want to know more? For more information about this position please access a copy of the position description via the link below or If you have any questions regarding this role, please contact Ian Roberts, Unit Manager Research & Analytics on 03 9217 2353 .To apply for this position, you must address the Key Selection Criteria outlined in the Position Description in your cover letter. Please note, that applications that do not address the Key Selection Criteria may not be considered.Applications close at 11.45pm on 4 August 2023.Interviews will take place as suitable candidates are identified.Please note all applicants must apply online, and no late applications will be accepted.We are happy to take applications from international candidates if you have a valid Visa to work in Australia.At the City of Whittlesea, we value diversity and appreciate everyone’s strengths. We are an equal opportunity employer and committed to attracting and retaining a diverse workforce that reflects our municipality. We encourage applications from Aboriginal and Torres Strait Islanders, people from culturally and linguistically diverse (CALD) backgrounds, people with a disability and people identifying as LGBTIQ. The City of Whittlesea is also a Child Safe employer.In line with the Council’s Covid Vaccination policy, we require staff to be vaccinated to perform duties and/or deliver services to the community. Therefore, if you are successful in the selection process, you will be required to provide evidence of an approved Covid-19 vaccination or authorised medical exemption.Council is committed to providing an inclusive workplace that encourages employees to participate, without discrimination, in both work-related and other activities conducted within a work context, with the support of workplace adjustments. Where possible, the Council will identify and resolve potential barriers to the recruitment and employment of people with disabilities within the organisation.If you require a workplace adjustment to support you during the interview process, please email [email protected] with your request outlining your preferred method of contact. Workplace adjustment (also known as “reasonable adjustment”) is defined as: “Whatever is considered necessary and achievable to enable an employee to perform their job role efficiently and to the best of their abilities”. A Workplace adjustment can be requested at any stage in the recruitment process and/or as a part of the employment of an individual."
Data Analyst (VPSG4),Office of Projects Victoria,Melbourne VIC,None,"Location: Melbourne | CBDJob type: Full timeOrganisation: Office of Projects VictoriaSalary: $91,418 - $103,725Occupation: AnalystReference: VG/1731949 An ongoing role as an Analyst in the Data Analytics team at OPV About us The Department of Treasury and Finance provides economic, financial and resource management advice to help the Victorian Government deliver its policies. We strive for excellence in financial and economic management to improve the lives of all Victorians. Office of Projects Victoria The Office of Projects Victoria (OPV) leads and influences excellence in project delivery so Government projects are delivered on time and on budget, and the full benefits of the investment are realised for Victorians. OPV does this by providing trusted independent advice to the Victorian Government. The organisation provides project portfolio oversight and assurance, improvements to how projects are delivered, independent advice and targeted support, training and advice to project leaders. The focus of OPVs work is on high value, high risk state infrastructure projects. OPV's five key priority areas are:About the role In this ongoing role, you will be responsible to:About you To be considered for the role, you must be able to demonstrate:Experience and qualificationsAbout our culture We aim to be a model employer providing an inclusive workplace that is understanding and respectful of differences such as gender, identity, race, disability or age. In addition, we are committed to supporting Aboriginal pathways between education and employment. The Department strives to create an environment that supports a flexible and adaptive workforce. All requests for flexible working arrangements will be considered in line with operational requirements. How to apply VPS employees and other JSE-eligible applicants are encouraged to apply on the Jobs & Skills Exchange (JSE) jobs board. For more information about the position and key selection criteria, please refer to the position description. If you have specific questions regarding the role, please contact Dionne.d'[email protected] or 0406 457 553. To apply, select the ‘Apply Now' button and provide a copy of your resume and cover letter summarising your skills and relevant experience. Applications close at midnight, 30 July 2023. If you require a copy of this advertisement in an accessible format, please contact the Careers team. Covid-19 Vaccination DTF is committed to providing and maintaining a working environment which is safe and without risk to the health of its employees and clients and consistent with the department's obligations under the Occupational Health and Safety Act 2004 (OH&S Act). To support this DTF has a COVID-19 Vaccination policy which strongly recommends all DTF employees be fully vaccinated."
Data Analyst,Worley,Melbourne VIC,Data Analyst,"More than 50,000 people. 49 countries. Over 120 office locations. We’re not just engineers. We’re a global team of data scientists, consultants, construction workers and innovators all working to create a better tomorrow. Every day, we help customers in energy, chemicals and resources get one step closer to solving our planet’s toughest issues. Climate change. The energy transition. Digital transformation. And how we can deliver a more sustainable world.   Whatever your ambition, there’s a path for you here. And there’s no barrier to your potential career success. As a Data Analyst with Worley, you will work closely with our existing team to deliver projects for our clients while continuing to learn and develop your current knowledge and skillset. The successful applicant would preferably be located in Melbourne, Sydney, Brisbane, Adelaide or Perth, but we will also consider working remotely for the right candidate. Some of the key day-to-day responsibilities include:About You: To be considered for this role it is envisaged you will possess a combination of experience, qualifications and qualities in the following areas:Worley recognises the value of equal employment opportunity and is committed to promoting fairness, equity and diversity in its workplace hence we encourage applications from people with a variety of experience and backgrounds. In addition, we recognise that everyone’s personal circumstances differ and thus understand the importance of offering flexibility in the working arrangements of our personnel. On this basis we will consider all types of engagements models, including part time and job sharing. We offer, the ability to purchase up to 8 weeks leave, compressed work weeks, flexible hours, working from home and accrued flex days, to ensure that we attract and retain a diverse and dynamic workforce. You must have current unrestricted working rights for Australia to be eligible for consideration and only those candidates with appropriate qualifications and experience will be contacted directly. Please note: If you are being represented by a recruitment agency you will not be considered, to be considered you will need to apply directly to WorleyMake a real difference - witness the results - be a part of the Worley journey today!"
Data Analyst,Department of Employment and Workplace Relations,Canberra ACT,Data Analyst,"About the Department of Employment and Workplace Relations We enable access to quality skills, training and employment services to support Australians find secure work in fair, productive and safe workplaces – supporting individuals and our nation to prosper.  The Role The Quality Assurance and Risk Management Branch ensures job seekers, employers and the department are receiving value for money services through data analysis and review of claims and payments data, investigating fraud and sharp practice, targeted assurance activities and identifying risks and mitigations. We have multiple positions within the branch, you should consider applying if you have skills relating to one or more of the following areas: How to apply for jobs in the Australian Public Service (APSC Guide) Opens in new window Job Information Pack Opens in new window"
Australia - Data & Business Analyst Graduate Program,FDM Group,Australia,None,"At FDM we have always championed gender equality. Our ongoing commitment is to encourage and support women looking to pursue a career in tech and we are proud to be leading by example in creating a more gender-balanced workforce. However, with the proportion of women working in the technology space at only around 28%, we recognise that there is still a way to go. Introducing Project Grace To help close the gender gap in the tech sector we created Project Grace, a Graduate Program designed to empower women for success in their dream tech careers. Named after Grace Hopper, a pioneering female American computer scientist and mathematician, the program’s goal is to inspire graduates to dream big and aim high. As the inventor of the first computer compiler, leading to the development of COBOL, an early programming language, Grace sets us a shining example.  Why choose Project Grace? When you join Project Grace, you will enter an exciting world of unlimited potential that promises great rewards both personally and professionally. Our award-winning training will equip you with the technical skills to launch your career as a Data & Business Analyst. You also learn professional skills to give you the confidence you need to work as an FDM Technical Consultant with our industry-leading clients, adding some big brands to your CV. After training, you will have the opportunity to apply your new skills working on cutting-edge client projects. As an integrated team member, you will use a range of tools and technologies to develop strategies that help companies make better-informed decisions for a competitive advantage. This could see you taking on large-scale migrations to modernise global business data or tackling Python data analytics for e-commerce giants. And, as a unique benefit to joining Project Grace, you will receive additional development workshops with senior female leaders in the tech space. Throughout your journey with FDM, you will receive continuous coaching and guidance from our internal teams and various support and development initiatives. Our Employee Assistance Program is a free service to all FDM staff offering confidential expert advice and compassionate guidance 24/7, covering emotional, financial, legal, family and work-life issues.What we are looking for: University degree (bachelor or higher)Analytical skillsExcellent communication skills and ability to build relationshipsPassionate about a career in techEligible to work in Australia (citizen/permanent resident)Open to relocating for client projects, the majority of our clients are based in Sydney and Melbourne so we look for you to be flexible to relocate. At FDM we support you with a relocation package and ensure you are connected with other FDM consultants if you need to relocate for a client project. Learn more here.What we offer you: Comprehensive and competitive benefits packageIndustry recognised training and qualificationsAdded development workshops with key senior female leaders in the tech spaceKey employability skills development e.g. stakeholder management, communication, planning and Microsoft ExcelA foot in the door to some of the world’s most reputable organisationsMentoring and on-going support throughout your entire FDM journeyOnline training with full access to modern and central training academiesSocial events and networkingOur CultureWith 95+ nationalities working together as a team, FDM is a company committed to diversity and inclusion, in terms of background, culture and skills. We celebrate difference because we want everyone to have equal opportunity to belong and grow in their career. We are active in creating a more gender-balanced workforce, with circa 33% of our senior management team and 31% of all employees identifying as female. Diversity and inclusion are at the heart of what we value as an organisation. FDM Group is an equal opportunities employer, and all qualified applicants will receive consideration for employment without regard to race, religion, sex, sexual orientation, age, disability or any other status protected by law. Our recruitment team is happy to support with any reasonable adjustments that are needed within the recruitment process. Grab this opportunity with both hands, and you won’t regret it. We help people like you develop their tech careers every day. The world is full of endless possibilities!All you need to do is apply now! Note: Although we use the word women, it is important to us that you understand our definitions include all women; cisgender, transgender or gender diverse, and we acknowledge and include those who identify outside the binary. Men are also always welcome to apply."
Data Analyst,Ramsay Health Care,"126 Phillip Street, Sydney NSW 2000",Data Analyst,"Entrepreneurial, optimistic and energetic, Ramsay has a vision to become a leader in digital health care. The Opportunity The Digital Delivery team at Ramsay Health Care are seeking an enthusiastic and dynamic Data Analyst to join our Digital Delivery team on a temporary full-time basis! The Data Analyst is a key role within the HRIS-project and is responsible for providing data-driven insights and recommendations to support various projects, operational or strategic decision-makers. The successful candidate will be required to: Key Skills and Experience Highly regarded, though not essential: Why Choose a Ramsay Career? Ramsay Health Care, a global operator of private hospitals and primary care clinics with 72 Australian sites employing over 30,000 people. We have been focused on delivering high-quality patient care and practising the Ramsay Way philosophy of ‘People Caring for People’ since 1972. We believe in a bright future for our company and for every one of our employees – our wellbeing initiatives and learning and development programs have seen us grow as an industry leader and sought after employer. Our Ramsay Way values We are a leading provider of health care services with a special culture known as “The Ramsay Way” and a philosophy of “People Caring for People”. Requirements As a part of Ramsay Health Care’s ongoing response to the pandemic and commitment to the health and wellbeing of the community, successful applicants are required to provide evidence of Covid-19 vaccinations prior to commencement. You may also be required to provide a current National Police check. To Apply All applications must be lodged online and should include your Curriculum Vitae outlining your experience and skills in line with the above criteria and 2 current work-related referees. Applications close Monday 24th July 2023 #LI-DNI"
BI Analyst,City of Whittlesea,South Morang VIC,None,"Permanent – Part time 32 hours (0.84 EFT) Band 6 Salary $ 91,753.50 (Pro Rata) + Super + RDO + Flexible WorkingAbout Us The City of Whittlesea is one of the fastest growing municipalities in Australia. As a local government organisation, we play a pivotal role in the everyday lives of our community. Our vision is to make Whittlesea 2040: A Place For All by ensuring our residents can enjoy access to local services, facilities and infrastructure.Our staff are passionate, skilled and diverse, providing a great environment to work in and succeed.The Role Make a difference in our community!This is an exciting opportunity for a Power BI Specialist. Focus on data story-telling using your time to understand data, producing creative visualisations and enabling effective analysis. Our team delivers operational and strategic data analytics projects in support of the Whittlesea 2040 vision.The Data Analyst (Power BI) should be a data devotee. You will work closely with key stakeholders to empower effective use of data. As part of the Research and Analytics Team, this position will enable effective use of data to inform decisions and provide information for evidence-based decision-making across the organisation.About you We are seeking someone with excellent communication skills, who enjoys sharing knowledge and contributing to a positive culture of evaluation.You will be experienced in the design and implementation of BI processes, reports and dashboards. Working with others to turn data into insights to inform business decisions and measure business performance. You will have strong data analytics skills and an aptitude for creative and engaging data visualisations. Your experience and willingness to learn will be highly valued.If this sounds like you, then you should definitely apply!Want to know more? For more information about this position please access a copy of the position description via the link below or If you have any questions regarding this role, please contact Ian Roberts, Unit Manager Research & Analytics on 03 9217 2353 .To apply for this position, you must address the Key Selection Criteria outlined in the Position Description in your cover letter. Please note, that applications that do not address the Key Selection Criteria may not be considered.Applications close at 11.45pm on 4 August 2023.Interviews will take place as suitable candidates are identified.Please note all applicants must apply online, and no late applications will be accepted.We are happy to take applications from international candidates if you have a valid Visa to work in Australia.At the City of Whittlesea, we value diversity and appreciate everyone’s strengths. We are an equal opportunity employer and committed to attracting and retaining a diverse workforce that reflects our municipality. We encourage applications from Aboriginal and Torres Strait Islanders, people from culturally and linguistically diverse (CALD) backgrounds, people with a disability and people identifying as LGBTIQ. The City of Whittlesea is also a Child Safe employer.In line with the Council’s Covid Vaccination policy, we require staff to be vaccinated to perform duties and/or deliver services to the community. Therefore, if you are successful in the selection process, you will be required to provide evidence of an approved Covid-19 vaccination or authorised medical exemption.Council is committed to providing an inclusive workplace that encourages employees to participate, without discrimination, in both work-related and other activities conducted within a work context, with the support of workplace adjustments. Where possible, the Council will identify and resolve potential barriers to the recruitment and employment of people with disabilities within the organisation.If you require a workplace adjustment to support you during the interview process, please email [email protected] with your request outlining your preferred method of contact. Workplace adjustment (also known as “reasonable adjustment”) is defined as: “Whatever is considered necessary and achievable to enable an employee to perform their job role efficiently and to the best of their abilities”. A Workplace adjustment can be requested at any stage in the recruitment process and/or as a part of the employment of an individual."
Data and Business Intelligence Analyst,NSW Government -Corporate Services,Bathurst NSW,None,"Do you want your work to make a difference for NSW? Together, we create thriving environments, communities and economies. Our Workplace Services team within our Workplace Services team is currently seeking to appoint a Data and Business Intelligence Analyst to join their dynamic team. The role is responsible for undertaking and delivering a range of system dashboards and visualisations for management information, data analytics, data ELT tasks supporting management and decision making to improve workplace occupancy, utilisation and return on investment. Working with a supportive team but having autonomy to initiate your own work this role will provide data analysis and support across multiple sites. The role will analyse information and bring data together into understandable and meaningful formats for stakeholders. You will have the opportunity to collaborate with the workplace systems team to suggest improvements on how to improve data integrity across workplace systems to ensure accurate useful reporting information. Engaging and coaching stakeholders on the effective use of workplace systems and technology is an integral part of this role. This is a fantastic opportunity to be part of a dynamic team and be impactful in providing useful information for decision support purposes. About You Experience in a similar data analytics role with experience across multiple technology platforms is preferred. Experience developing in Power BI and Tableau would be highly regarded although not essential for the right candidate. You will thrive working in a dynamic, changing environment and be adept and communicating technical information in a meaningful way. You will be adept at building relationships with diverse stakeholders groups. For more information read the full Role Description: Data and Business Intelligence Analyst For more information from LinkedIn hit Apply to visit the iworkfor.nsw.gov.au website. About Us The Department of Planning and Environment’s (DPE) vision is to create thriving environments, communities and economies for the people of New South Wales. We strive to be a high-performing, world-class public service organisation that celebrates and reflects the full diversity of the community we serve and seeks to embed Aboriginal cultural awareness and knowledge throughout the department. In our inclusive and accessible workplace, differences are embraced, contributions are valued, and everyone has a sense of connection and belonging. DPE supports various employee affinity groups, practice flexible working, offer job share and workplace adjustments. To Apply If excited by the information above, we look forward to receiving your application, including a copy of your resume and cover letter expressing your interest and suitability for the role. DPE strongly recommends all applicants who can be safely vaccinated for COVID-19, to be so. Applications close Wednesday 2nd August 11:55PM. Should you require further information about the role please contact Kim Roughley, Senior Workplace Systems Administrator via [email protected] on 0438 972 315. A recruitment pool may be created for ongoing and temporary opportunities of the same role or role type that may become available over the next 18 months. Looking for more information or assistance in applying? Our Diversity team can assist to: We encourage people with disability to apply. If you have disability and require more information on adjustments and assistance to apply, contact the Diversity team on [email protected] (please include reference number).   If you are an Aboriginal or Torres Strait Islander check out Our Mob on Country to see the work we do and get assistance in applying. Find us on Facebook, Instagram, and LinkedIn. Find us here:  https://www.facebook.com/NSWDPIE https://www.instagram.com/nswenviromedia/ https://www.linkedin.com/company/nswdpie/"
Data Analyst,Equifax,Docklands VIC 3008,None,"Who is Equifax As a global data, analytics, and technology company, we play an essential role in the economy by helping consumers, companies and government agencies make critical decisions with greater confidence. Our unique blend of differentiated data, analytics, and technology lets us create the insights that power decisions to move people forward. Equifax serves businesses from uncovering more profitable prospects, identifying who to trust and do business with, detecting fraud, verifying employment eligibility, to delivering powerful workforce management tools. For consumers we are behind the scenes to help provide a seamless and positive experience during life’s big moments — like applying for a job, purchasing a property, or buying a car. With the global power of over 13,000 dedicated, smart, and passionate team members, we help people live their financial best. Equifax is where you can ‘power your possible’. If you want to achieve your true potential, chart new paths, develop new skills, collaborate with bright minds, and make a meaningful impact, we want to hear from you. What you’ll do The Data Analyst (DA) as part of the Data Enablement and Governance team plays a key role in the day to day management of Equifax's core data assets developed to support our product offering to the market. Data Analyst will closely work with the product, sales, IT team within Data & Analytics to drive data quality and coverage of each of the data assets be market leading. The DA will perform in-depth analysis to drive data quality improvements of their allocated data assets in alignment with the product team's strategic recommendations. The DA will also assist in the migration of Equifax's core data assets as the business undergoes a multi-year transformation project to standardize how data is managed. W hat experience you need? 3+yrs of experience in Software development/data analysis/ data management Demonstrated experience and competency using SQL and at least one of the following : SAS, R, Python, Java or similar Experience with data visualization and data storytelling Statistical skills (advanced statistics or analysis techniques). Excellent interpersonal skills, combined with the ability to relate on all levels through the organization We believe that when we’re at our best, we can do our best. Equifax offers policies and programs that support our employees’ financial and personal wellbeing with additional leave days, hybrid working environment, employee assistance program and organisational growth potential through our online learning platform with guided career tracks. Are you ready to power your possible? Apply today, and get started on a path toward an exciting new career at Equifax, where you can make a difference! Equifax is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, gender identity, national origin or disability."
Data Analyst,ePharmacy,Preston VIC 3072,Junior Digital Data Analyst,Please note that this position will close at 11:45pm on the closing date. Please ensure your application is added before this time as we do not accept late applications.
FM Data Analyst,Sodexo,Balcatta WA 6021,Junior Digital Data Analyst," Sodexo is a people business, employing over 400,000 people worldwide and thousands in Australia. Our employees, who personify Sodexo's unique values of Service Spirit, Team Spirit and Spirit of Progress, are our greatest asset through their commitment and dedication. Working with Sodexo is more than a job; it’s a chance to be part of something greater because we believe our everyday actions have a big impact. With us, you belong in a company that allows you to act with purpose and thrive in your own way. We are always looking for people to join our team and help us create a lasting impact on individuals, society, and the planet. At Sodexo, we are a proud Equal Opportunity Employer and encourage applications from all applicants regardless of age, race, sex, ethnicity, religion and beliefs and people with disabilities. We offer a competitive salary, many development opportunities and an outstanding benefits and recognition program! Sodexo has an opening for a Facilities Maintenance (FM) Data Analyst to join our team in Balcatta in a full time, permanent role working as part of our national FM Platform servicing our energy and resource clients in Western Australia in addition to other contracts nationally. Within Western Australia, Sodexo is responsible for the operations, maintenance, and refurbishment of non-process infrastructure to clients within the mining and oil & gas sector. Sodexo plays a critical role in ensuring the resource sector can operate by providing quality catering, hospitality, and facilities maintenance services. The role of the FM Data Analyst will be responsible for monitoring and analysing FM data to recommend strategies for enhancement of asset performance which assist in the business financial decisions. You will need to be an excellent communicator who can engage with internal and external stakeholders, being able to provide advice and recommendations to the wider team. Part of this role will be contributing to the maintenance, upkeep, and continuous improvement of the Asset Management system, including plans and processes to ensure compliance with ISO 55001- so a strong understanding and previous experience working within asset management systems is a must. Within the role your main focus will be on the below areas: What we need from you? What can we do for you? If this sounds like you, please click APPLY and send through your resume. **Please note- to be considered for this role you must hold current Australian working rights. We are able to consider applicants that require sponsorship or relocation assistance for this role**"
Customer Data Analyst,Mutinex,Sydney NSW,None,The role What we are looking for About Mutinex 
